Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,Age,AboutMe,Views,UpVotes,DownVotes
10,446,2011-11-30 18:46:19.117,Fosco,2013-01-29 14:39:38.100,NULL,"San Francisco, CA",35,<p>I like to solve problems and make things more efficient.</p>  <p>Developer Advocate @ Facebook  </p>  <p>Solutions Architect @ Parse</p>,16,7,0
11,292,2011-11-30 18:46:31.217,Seth Rogers,2012-09-10 18:06:58.697,NULL,United States,NULL,"<p>Former Stacker, current Facebooker.</p>",17,28,3
12,1274,2011-11-30 18:46:34.150,ghoppe,2014-08-29 21:18:06.543,NULL,"Saskatoon, Canada",NULL,NULL,15,5,0
13,101,2011-11-30 18:46:37.447,oezi,2014-08-11 16:25:37.600,http://stackoverflow.com/users/288773/oezi,"Lower Saxony, Germany",27,"<p>Just a guy from Germany who dreamt about being a software engineer since he was a child.</p>  <p>Time flies, and now (for a few years) he is...</p>",0,1,0
14,101,2011-11-30 18:46:49.170,Grace Note,2014-06-13 14:30:14.393,,6,NULL,"<p>""Being an Alice in the world of computing can be a very problematic position.""<br/><br/> I'm a <a href=""http://blog.stackoverflow.com/2011/08/welcome-valued-associate-chris-jaeger/"">Community Manager</a> for the Stack Exchange Network. I look forward to working with you on improving this community. ♪<br/><br/> On the offside: programmer/designer with a Computer Science degree and an electronic media degree. Enjoys gaming and does designwork as a hobby.</p>",5,0,0
15,101,2011-11-30 18:47:04.340,earlyadopter,2011-12-14 22:49:12.843,http://LOMOportfolio.com,"San Francisco, CA",48,,2,1,0
16,101,2011-11-30 18:47:40.330,Azzurrio,2013-12-13 04:40:46.250,NULL,"Cairo, Egypt",23,"<p>Google Student Ambassador, Web Developer &amp; Computer Science Student.</p>",1,0,0
17,101,2011-11-30 18:49:04.503,Jonathan Miller,2011-11-30 18:49:04.503,http://www.miller-interactive.com,"Royse City, TX",32,"<p>I am a Front-End Programmer, currently freelancing and contracting. I live in Royse City, Texas and am getting used to working from home. One thing is for sure, I don't miss the morning commute!</p>",0,0,0
18,138,2011-11-30 18:49:45.447,Sander,2011-12-08 07:40:09.537,http://stackoverflow.com/users/109341/sander,"Bruges, Belgium",32,"<ul> <li> I am a belgian web developer working with asp.net and C# most of the time, i'm working for a belgian company called District01 (small webdevelopment company with about 15 employees, working in many areas, php/asp/html/mobile development/...) </li> <li> Since april 2008 I also started working alot with the CMS umbraco. (open source .NET cms www.umbraco.org </li> <li> Since about januari 2009 I also started experimenting with javascript, web applications, jQuery, ... </li> <li> Currently end 2011 begin 2012 I rolled myself into this nifty little javascript library called Backbone.js getting to know it well, and starting to develop my first real apps. </li> </ul>",4,1,0
19,136,2011-11-30 18:50:28.137,Aarthi,2013-04-16 21:32:19.363,http://blog.aarthid.me/,"New York, United States",25,"<p>I'm a former Stack Exchange employee. </p>  <p>For all site support issues, please <a href=""http://meta.stackoverflow.com/help"">contact the team</a>.</p>",14,4,0
20,101,2011-11-30 18:51:03.263,Cawas,2014-04-29 04:58:27.477,http://www.cregox.com,NULL,33,"<p>I wonder if now we can get email <a href=""http://meta.stackexchange.com/questions/40927/how-do-you-do-to-keep-track-of-notifications"">notifications</a> partially thanks to <a href=""http://meta.stackexchange.com/questions/6557/instant-notifications-of-answers-to-questions/31596#31596"">my ranting</a>. And <a href=""http://stackoverflow.com/users/flair"">flair rocks</a>! :D</p>  <p><a href=""http://stackexchange.com/users/307a4eac4233499ab4b8df42e74630d7""> <img src=""http://stackexchange.com/users/flair/307a4eac4233499ab4b8df42e74630d7.png"" width=""208"" height=""58"" alt=""profile for Cawas on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for Cawas on Stack Exchange, a network of free, community-driven Q&amp;A sites""> </a> <br /> caue@ <a href=""http://www.cregox.com"" rel=""nofollow"">cregox.com</a></p>  <p>Oh, and if you like skepticism, technology and online forums, please help me promoting and evolving this! I created this forum for the SGU podcast, but I got no clue how to make this into a community: <a href=""http://sgu.cawas.info/"" rel=""nofollow"">http://sgu.cawas.info/</a></p>",0,21,0
21,101,2011-11-30 18:51:16.450,Alex Miller,2013-11-24 01:17:56.037,http://www.alexmiller.net,"New York, NY",NULL,"<p>I'm Stack Exchange's VP of Operations, so I keep the lights on around here and make sure someone feeds the Unicorns.</p>  <p><br/> <br/></p>  <p><a href=""http://stackexchange.com/users/2b57ae3a95c940afbd7b62e721715c15""> <img src=""http://stackexchange.com/users/flair/2b57ae3a95c940afbd7b62e721715c15.png"" width=""208"" height=""58"" alt=""profile for Alex Miller on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for Alex Miller on Stack Exchange, a network of free, community-driven Q&amp;A sites""> </a></p>",0,0,0
22,2326,2011-11-30 18:51:24.883,Flimzy,2014-08-19 11:17:05.997,http://verbally.flimzy.com,NULL,35,"<p>I'm a full-time software developer for <a href=""http://www.efolder.net/"" rel=""nofollow"">eFolder, Inc</a>, working remotely.  I from Wichita, KS but have been traveling the globe since June, 2013.</p>  <p>I am pro-tem moderator for <a href=""http://spanish.stackexchange.com/"">Spanish Language</a>.</p>",107,139,122
23,141,2011-11-30 18:52:05.013,Chris Rasys,2013-12-18 15:32:15.057,http://www.cybersprocket.com,"Charleston, SC",32,<p>Not much to say at the moment</p>,3,8,0
24,271,2011-11-30 18:56:20.797,Andrew Lewis,2014-04-14 20:51:55.603,http://andlewis.com,"Calgary, Canada",37,"<p>I've spend a bunch of years as a .NET consultant, and now I'm working as a Software Development Manager for an internal dev team. <a href=""http://twitter.com/andlewis"" rel=""nofollow"">@andlewis</a></p><p><a href=""https://plus.google.com/101851488402458940270/post"" rel=""nofollow"">google</a></p><p><a href=""https://www.facebook.com/andlewis"" rel=""nofollow"">facebook</a></p><p><a href=""http://www.linkedin.com/in/andlewis"" rel=""nofollow"">linkedin</a></p></p>",1,0,0
25,101,2011-11-30 18:57:37.860,Mark D,2013-05-28 15:28:35.343,NULL,NULL,36,NULL,3,0,0
26,1424,2011-11-30 18:57:42.820,Lauren,2013-01-31 20:53:48.910,http://twitter.com/laurengundrum,"New York, United States",NULL,"<p><a href=""http://twitter.com/laurengundrum"" rel=""nofollow"">@laurengundrum</a></p>  <p><a href=""http://www.linkedin.com/pub/lauren-gundrum/32/49b/431"" rel=""nofollow"">linkedin</a></p>",153,17,0
27,101,2011-11-30 18:58:00.620,Noldorin,2011-12-27 00:54:12.993,http://noldorin.com/,"London, United Kingdom",24,"<p>entrepreneur; graduate in mathematics / theoretical computer science / theoretical physics; polymath-in-training</p>  <p>based in <em>London, United Kingdom</em></p>  <ul> <li><a href=""http://about.me/alexreg"" rel=""nofollow"">About Me</a></li> <li><a href=""http://blog.noldorin.com/"" rel=""nofollow"">Website</a></li> <li><a href=""http://blog.noldorin.com/"" rel=""nofollow"">Blog</a></li> <li><a href=""http://twitter.com/alexreg90"" rel=""nofollow"">Twitter</a></li> <li><a href=""https://www.google.com/+AlexRegueiro90"" rel=""nofollow"">Google+</a></li> <li><a href=""http://www.linkedin.com/in/alexreg"" rel=""nofollow"">LinkedIn</a></li> </ul>",0,0,0
28,101,2011-11-30 18:59:05.153,Shog9,2014-08-18 21:26:01.807,http://shog9.com,Colorado,34,"<p><a href=""http://blog.stackoverflow.com/2011/03/welcome-valued-associate-josh-heyer/"">Community Coordinator for Stack Exchange, Inc.</a><br> <em>Trust me - I</em> think <em>I know what I'm doing</em> </p>  <p>If necessary, contact me via email to stackoverflow.com: shog@...</p>  <p>Poke...</p>",7,5,6
29,13456,2011-11-30 19:03:41.167,System Down,2014-09-12 19:45:32.777,http://blog.system-down.com,United States,36,"<p>Coding Tiger, Hidden Debugger</p>",259,1974,65
30,101,2011-11-30 19:03:50.370,Bart De Vos,2012-01-25 18:44:56.953,http://www.bartdevos.be,"Asse, Belgium",25,<p>Dream as if you'll live forever. Live as if you die today.</p>,1,0,0
31,964,2011-11-30 19:04:08.717,Laurent Pireyn,2014-08-25 07:23:24.043,http://www.pisolutions.eu/lpireyn,Belgium,37,<p>Freelancer Java expert.</p>,51,93,2
32,1503,2011-11-30 19:06:15.263,mootinator,2014-09-10 05:33:03.777,http://mootinator.com,"Saskatoon, Canada",34,"<p><img src=""http://cerebraldonkey.com/bttf/bttf-mcfly.png?text=I+don%27t+always+travel+to+the+future.&amp;text2=But+when+I+do+I+arrive+in+the+present.""/></p>  <p>Generalist programmer/consultant at <a href=""http://www.omnilogic.net"" rel=""nofollow"">Omnilogic Systems</a></p>  <p><a href=""http://twitter.com/mootinator"" rel=""nofollow"">mootinator</a> on Twitter.</p>",20,33,2
33,1,2011-11-30 19:09:37.763,user33,2011-12-07 19:53:51.323,NULL,NULL,NULL,NULL,0,0,0
34,146,2011-11-30 19:10:25.707,Cesar Canassa,2014-03-23 04:19:24.760,http://canassa.com,Brazil,31,"<p>Developer, mechanic and physician.</p>",4,0,0
35,558,2011-11-30 19:15:03.620,Unsigned,2014-09-04 22:30:15.227,NULL,"West Coast, USA",NULL,"<p>Software Development Engineer at Amazon, commercial actor, and hobby photographer.</p>  <p>Non-exhaustive list of my favorite languages, in no particular order:</p>  <ul> <li>Native: C, C++, x86 ASM</li> <li>Managed: C#, Java, .NET CIL/MSIL</li> <li>Interpreted: Ruby</li> </ul>  <p>Experience in compiler development, build systems, OS kernel memory management, SOAs, web applications and crawlers, data mining, 3D raytracing, and data compression algorithm design.</p>  <blockquote>   <p>""I want my ER doctor to understand anatomy, even if all she has to do is put the computerized defibrillator nodes on my chest and push the big red button, and I want programmers to know programming down to the CPU level, even if Ruby on Rails does read your mind and build a complete Web 2.0 social collaborative networking site for you with three clicks of the mouse."" -- <a href=""http://stackexchange.com/users/4/joel-spolsky"">Joel Spolsky</a></p> </blockquote>  <p><a href=""http://stackexchange.com/users/314364/unsigned""><img src=""http://stackexchange.com/users/flair/314364.png"" width=""208"" height=""58"" alt=""profile for Unsigned on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for Unsigned on Stack Exchange, a network of free, community-driven Q&amp;A sites"" /></a></p>",20,119,1
36,1525,2011-11-30 19:16:31.963,kapa,2014-09-03 14:10:44.057,NULL,"Budapest, Hungary",32,<p>Once a drunken programmer. Now sober.</p>,39,245,4
37,101,2011-11-30 19:17:33.210,bronzebeard,2014-05-14 04:48:13.377,http://bronzebeard.wordpress.com,"Bangalore, India",29,"<p>I like all kinds of games but mostly strategy and RPGs  Here is a list of some games I have played and my thoughts <a href=""http://bronzebeard.wordpress.com/games/"" rel=""nofollow"">http://bronzebeard.wordpress.com/games/</a></p>",0,17,0
38,101,2011-11-30 19:20:19.257,Mulki,2011-12-08 06:45:51.300,NULL,India,28,Currently a software developer trying to make a difference,1,3,0
39,101,2011-11-30 19:25:04.757,Martin.,2011-12-27 11:22:50.723,NULL,NULL,NULL,"<p>ಠ,ಠ</p>",1,1,0
40,15637,2011-11-30 19:25:58.580,iandotkelly,2014-09-14 02:49:26.233,http://www.google.com,Michigan,47,"<p><a href=""http://stackexchange.com/users/441988""> <img src=""http://stackexchange.com/users/flair/441988.png"" width=""208"" height=""58"" alt=""profile for iandotkelly on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for iandotkelly on Stack Exchange, a network of free, community-driven Q&amp;A sites""> </a></p>",711,2172,166
41,234,2011-11-30 19:27:31.580,Alexei Averchenko,2013-12-13 08:09:09.263,NULL,NULL,NULL,NULL,14,4,2
42,101,2011-11-30 19:29:55.460,Skomski,2011-12-04 22:05:47.277,http://skomski.com,"Berlin, Germany",21,NULL,0,0,0
43,235,2011-11-30 19:33:14.887,Zhen,2013-08-26 08:35:49.573,http://malcodigo.blogpost.com,"Santander, Spain",36,"<p>I'm a <strong>Game Programmer</strong> at soul but currently I work as <strong>System Administrator</strong>.</p>  <ul> <li>To see me <strong>rant</strong>: <strong><a href=""http://malcodigo.blogspot.com"" rel=""nofollow"">http://malcodigo.blogspot.com</a></strong></li> <li>To see me <strong>walk</strong>: <strong><a href=""http://zhenpaseando.blospot.com"" rel=""nofollow"">http://zhenpaseando.blospot.com</a></strong></li> <li>To just see me: <strong>Napoli, Italia</strong>.</li> </ul>  <p>My best known work: <strong>Doodle Hex</strong> for Nintendo DS, <strong>Cell &amp; Love</strong> for Android and <strong>Altamira II</strong> Supercomputer for the RES.</p>",4,66,1
44,990,2011-11-30 19:36:10.417,Evik James,2014-09-05 14:06:38.273,http://www.evikjames.com,"Minneapolis, MN",47,<p>I love media.</p>,18,153,0
45,101,2011-11-30 19:38:23.940,Yunus,2012-11-19 15:09:05.957,http://yns.co,Turkey,NULL,NULL,0,1,0
46,101,2011-11-30 19:51:53.293,Marcx,2012-01-09 11:26:31.207,http://www.marcocarettoni.it,"Novara, Italy",27,NULL,0,0,0
47,258,2011-11-30 20:02:40.800,puri,2014-08-14 02:56:42.863,NULL,"New York, United States",31,<p></p>,9,6,0
48,989,2011-11-30 20:04:34.880,Pubby,2014-01-14 18:12:26.353,http://stackoverflow.com/users/964135/pubby8,United States,94,"<p><img src=""http://users.content.ytmnd.com/8/8/8/888ec0bdbea1f6bc222b474d35b0b0a7.gif"" alt=""pepe""></p>",24,84,12
49,18722,2011-11-30 20:07:52.243,Napoleon Wilson,2014-09-14 00:03:54.767,,"Chemnitz, Germany",27,<p>Got a smoke?</p>,1846,4794,1232
50,571,2011-11-30 20:09:30.457,drneel,2014-09-05 12:48:50.263,http://careers.stackoverflow.com/darrellneel,"Charleston, South Carolina, United States, 29407",33,<p>Web Developer</p>,5,21,0
51,101,2011-11-30 20:16:29.573,True Soft,2012-06-02 15:48:56.630,http://www.truesoft.ro,"Sibiu, Romania",32,"<p>Software developer</p>    <p>Links:</p>  <ul> <li><a href=""http://www.youtube.com/user/TrueSoftRomania"" rel=""nofollow"">YouTube</a></li> <li><a href=""http://www.facebook.com/truesoft.ro"" rel=""nofollow"">Facebook</a></li> </ul>",1,2,0
52,9578,2011-11-30 20:18:53.983,DForck42,2014-08-04 17:41:30.067,http://someonelikeme42.wordpress.com,Missouri,27,<p>Moderator on Movies.Stackexchange.  I enjoy lots of different movies and tv shows.</p>,516,2172,158
53,332,2011-11-30 20:21:48.210,e-MEE,2013-08-29 13:22:24.997,NULL,NULL,24,NULL,15,26,0
54,101,2011-11-30 20:22:32.767,Eduardo Molteni,2014-06-20 03:28:34.337,http://www.bizcacha.com,Argentina,44,"<p>I'm a software developer working in San Antonio de Areco, Argentina, where I have my small software development company named <a href=""http://www.bizcacha.com"" rel=""nofollow"">Bizcacha</a></p>",0,3,0
55,101,2011-11-30 20:23:13.400,Chris,2011-12-10 02:35:16.590,NULL,"London, United Kingdom",NULL,"<p><a href=""http://twitter.com/chriswbarr"">@chriswbarr</a></p>",1,1,0
56,2392,2011-11-30 20:23:44.543,Mehper C. Palavuzlar,2014-09-04 20:22:21.130,http://twitter.com/mehper,"Istanbul, Turkiye",36,"<p><a href=""http://stackexchange.com/users/d941154e3fa54592b111a6b8350d64c0""> <img src=""http://stackexchange.com/users/flair/d941154e3fa54592b111a6b8350d64c0.png?theme=clean"" width=""208"" height=""58"" alt=""profile for Mehper C. Palavuzlar on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for Mehper C. Palavuzlar on Stack Exchange, a network of free, community-driven Q&amp;A sites"">  </a> <a href=""http://mehper.tr.gg"" rel=""nofollow""><b>mehper.tr.gg</b></a></p>  <p><b>Industrial Engineer <sup>M.Sc.</sup> </b></p>  <hr/>  <ul> <li>Author of <em><a href=""http://rads.stackoverflow.com/amzn/click/383834555X"" rel=""nofollow"">Distribution Planning of Magazines: A Practical Approach.</a></em></li> <li>Author of <em><a href=""http://rads.stackoverflow.com/amzn/click/383836208X"" rel=""nofollow"">Random Variate Generation If the Density Is Not Known: Basics, Methods, Implementations.</a></em></li> <li>Dealing with data analysis, system development and optimization.</li> <li>Using R, SQL, VBA languages.</li> <li>Tech-savvy.</li> <li>XBox 360 fan.</li> <br> </ul>",131,670,17
57,178,2011-11-30 20:29:06.383,Vic Goldfeld,2013-08-28 07:04:09.003,https://github.com/goldfeld?tab=repositories,NULL,25,NULL,1,9,0
58,101,2011-11-30 20:57:46.103,Michael Moussa,2012-09-09 21:38:43.653,NULL,NULL,NULL,NULL,0,1,0
59,101,2011-11-30 21:06:45.713,De3pTh0ught,2011-12-07 22:56:02.457,NULL,United States,22,NULL,0,0,0
60,101,2011-11-30 21:19:51.577,reno812,2014-08-21 22:10:38.170,NULL,NULL,NULL,NULL,7,2,0
61,279,2011-11-30 21:23:08.173,Muad'Dib,2012-05-03 23:31:49.060,http://gplusid.com/loggdogg,Washington,44,"<p>Workin' hard @<a href=""http://www.4qtrs.net/default.aspx"" rel=""nofollow"">4QTRS</a> in Yakima, Wa.</p>  <p>Muad'Dib no longer needs the weirding modual!</p>  <p><p></p>  <p><a href=""http://gplusid.com/loggdogg"" rel=""nofollow"">Google+</a> </p>  <p> <a href=""http://www.keyboardforblondes.com/"" rel=""nofollow"">Keyboard For Blonds</a></p>  <p><a href=""http://careers.stackoverflow.com/chriswilson"">careers.stackoverflow.com/</a></p>  <p> <a href=""http://www.tripadvisor.com/Hotel_Review-g52842-d730099-Reviews-Schrute_Farms-Honesdale_Pennsylvania.html"" rel=""nofollow"">Schrute Farms</a> </p>  <p><a href=""http://stackexchange.com""> <img src=""http://stackexchange.com/users/flair/61a9c01b2f004eabafe53019e9518267.png"" width=""208"" height=""58"" alt=""combined Stack Exchange profile for Muad'Dib"" title=""combined Stack Exchange profiles for Muad'Dib""> </a></p>",4,3,0
62,101,2011-11-30 21:26:08.010,Wesley Wiser,2012-02-10 17:26:44.043,NULL,United States,NULL,NULL,0,2,0
63,101,2011-11-30 21:32:37.077,Andrew Whitaker,2012-10-25 17:50:50.057,http://careers.stackoverflow.com/andrewwhitaker,"Charleston, SC",27,"<p>Currently a Software Engineer at <a href=""http://wwww.peoplematter.com"" rel=""nofollow"">PeopleMatter</a></p>  <ul> <li>B.S. Computer Science</li> <li>Experienced web developer with extensive JavaScript &amp; jQuery experience</li> <li>Currently an ASP.NET MVC/C# developer</li> <li>Find me on twitter: @<a href=""http://twitter.com/#!/andrewwhitaker"" rel=""nofollow"">andrewwhitaker</a></li> <li>LinkedIn: <a href=""http://www.linkedin.com/in/andrewawhitaker"" rel=""nofollow"">http://www.linkedin.com/in/andrewawhitaker</a></li> </ul>  <hr />  <h3>My favorites so far:</h3>  <ul> <li><a href=""http://stackoverflow.com/q/4534669/497356"">How to add scroll background effect to multiple elements with different settings?</a></li> <li><a href=""http://stackoverflow.com/q/4503850/497356"">JavaScript enum sample - how does this work?</a></li> <li><a href=""http://stackoverflow.com/q/4523088/497356"">jQuery find next and prev element</a></li> <li><a href=""http://stackoverflow.com/q/4628093/497356"">Drag and drop with 2 drop target</a></li> <li><a href=""http://stackoverflow.com/q/4718968/497356"">Detecting 0 results in jQueryUI autocomplete</a></li> </ul>",1,1,0
64,1056,2011-11-30 21:44:33.047,Evan,2014-04-15 09:24:19.267,http://www.michevan.id.au/,"Melbourne, Australia",44,<p>Software developer and wry observationist.</p>,7,3,0
65,2121,2011-11-30 21:58:40.270,Arremer,2014-09-13 14:57:56.703,https://plus.google.com/u/0/107478549815173695830/about,Croatia,23,"<p>Überpudding</p>  <p>3D and Game Designer</p>  <p><a href=""http://stackexchange.com/users/404091/arremer""><img src=""http://stackexchange.com/users/flair/404091.png"" width=""208"" height=""58"" alt=""profile for Arremer on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for Arremer on Stack Exchange, a network of free, community-driven Q&amp;A sites"" /></a></p>",37,95,0
66,2029,2011-11-30 22:04:29.980,Mnementh,2014-05-18 10:13:33.203,http://mnementh.de/,Benden Weyr,58,"<p>My name is Jörgen Kosche and I like watching movies. :-)</p>  <p><a href=""http://stackexchange.com/users/046e0e4ef2fa48f8bf3162a9383c5b4e""> <img src=""http://stackexchange.com/users/flair/046e0e4ef2fa48f8bf3162a9383c5b4e.png"" width=""208"" height=""58"" alt=""profile for Mnementh on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for Mnementh on Stack Exchange, a network of free, community-driven Q&amp;A sites""> </a></p>",52,261,3
67,133,2011-11-30 22:15:45.853,Wok,2013-08-26 07:43:16.837,http://stackexchange.com/users/158078/wok,France,28,<blockquote>   <p><em>That is not dead which can eternal lie.</em></p>      <p><em>And with strange aeons even death may die.</em></p> </blockquote>,7,12,0
68,5111,2011-11-30 22:20:35.393,phwd,2014-08-11 23:45:22.483,http://philippeharewood.com/developer,Trinidad and Tobago,27,"<p><a href=""http://philippeharewood.com/developer"" rel=""nofollow"">Facebook App Developer</a>   </p>  <blockquote>   <p>These aren't the access_tokens you are looking for</p> </blockquote>",190,290,61
69,94,2011-11-30 22:21:56.957,Robert Cartaino,2014-09-12 19:55:43.997,NULL,"Palm Bay, FL",NULL,"<p><a href=""http://blog.stackoverflow.com/2010/04/welcome-stack-overflow-valued-associate-00005/"">Stack Exchange Valued Associate #00005</a></p>  <p>I am the Director of Community Development for the Stack Exchange Network.</p>  <p>I can be reached at<br> <b>&#114;&#99;&#97;&#114;&#116;&#97;&#105;&#110;&#111;&#64;&#115;&#116;&#97;&#99;&#107;&#101;&#120;&#99;&#104;&#97;&#110;&#103;&#101;&#46;&#99;&#111;&#109;</b></p>",20,17,23
